sample	category
DTB-210-BL	SPEN
DTB-138-BL	JAK1
DTB-005-BL	RPRD2
DTB-222-BL	RPRD2
DTB-071-BL	RPRD2
DTB-183-BL	RPRD2
DTB-138-BL	RPRD2
DTB-261-BL	RPRD2
DTB-005-BL	SETDB1
DTB-222-BL	SETDB1
DTB-071-BL	SETDB1
DTB-183-BL	SETDB1
DTB-138-BL	SETDB1
DTB-261-BL	SETDB1
DTB-138-BL	ETV3
DTB-138-BL	PYHIN1
DTB-138-BL	PTPRC
DTB-053-BL	PTPRC
DTB-138-BL	ELK4
DTB-223-BL	ITSN2
DTB-187-BL	ASXL2
DTB-223-BL	ASXL2
DTB-037-BL	ASXL2
DTB-011-BL	ZFP36L2
DTB-143-BL	ZFP36L2
DTB-201-PRO	ZFP36L2
DTB-223-BL	ZFP36L2
DTB-036-BL	ZFP36L2
DTB-210-BL	ZFP36L2
DTB-022-BL	ZFP36L2
DTB-223-BL	MSH2
DTB-083-BL	MSH2
DTB-223-BL	MSH6
DTB-083-BL	MSH6
DTB-149-BL	PMS1
DTB-149-BL	SF3B1
DTB-138-BL	SF3B1
DTB-138-BL	IDH1
DTB-138-BL	CUL3
DTB-223-BL	BRPF1
DTB-223-BL	FANCD2
DTB-071-BL	PIK3CB
DTB-092-BL	PIK3CB
DTB-135-PRO	PIK3CB
DTB-092-BL	ATR
DTB-135-PRO	PIK3CA
DTB-204-BL	IL6ST
DTB-201-PRO	IL6ST
DTB-258-BL	IL6ST
DTB-089-BL	IL6ST
DTB-121-BL	IL6ST
DTB-204-BL	MAP3K1
DTB-201-PRO	MAP3K1
DTB-089-BL	MAP3K1
DTB-121-BL	MAP3K1
DTB-035-BL	CHD1
DTB-170-BL	CHD1
DTB-204-BL	CHD1
DTB-128-BL	CHD1
DTB-210-BL	CHD1
DTB-023-BL	FER
DTB-183-BL	TCERG1
DTB-223-BL	GEMIN5
DTB-037-BL	GEMIN5
DTB-261-BL	SSR1
DTB-187-BL	ETV1
DTB-223-BL	ETV1
DTB-167-PRO	ETV1
DTB-223-BL	SAMD9
DTB-101-BL	SAMD9
DTB-085-BL	MET
DTB-053-BL	MET
DTB-053-BL	BRAF
DTB-085-BL	SLC4A2
DTB-092-BL	WRN
DTB-005-BL	BAG4
DTB-204-BL	BAG4
DTB-092-BL	BAG4
DTB-265-PRO	BAG4
DTB-127-PRO	BAG4
DTB-183-BL	BAG4
DTB-220-BL	PRKDC
DTB-223-BL	PRKDC
DTB-055-PRO	PRKDC
DTB-167-PRO	PRKDC
DTB-059-BL	PRKDC
DTB-036-BL	PRKDC
DTB-127-PRO	PRKDC
DTB-183-BL	PRKDC
DTB-119-PRO	PRKDC
DTB-063-BL	PRKDC
DTB-220-BL	CHD7
DTB-223-BL	CHD7
DTB-055-PRO	CHD7
DTB-167-PRO	CHD7
DTB-059-BL	CHD7
DTB-061-BL	CHD7
DTB-119-PRO	CHD7
DTB-090-PRO	CHD7
DTB-170-BL	NBN
DTB-220-BL	NBN
DTB-223-BL	NBN
DTB-092-BL	NBN
DTB-100-BL	NBN
DTB-265-PRO	NBN
DTB-037-BL	NBN
DTB-061-BL	NBN
DTB-175-BL	NBN
DTB-060-BL	NBN
DTB-183-BL	NBN
DTB-119-PRO	NBN
DTB-090-PRO	NBN
DTB-261-BL	NBN
DTB-135-PRO	NBN
DTB-220-BL	RSPO2
DTB-223-BL	RSPO2
DTB-071-BL	RSPO2
DTB-092-BL	RSPO2
DTB-265-PRO	RSPO2
DTB-127-PRO	RSPO2
DTB-175-BL	RSPO2
DTB-060-BL	RSPO2
DTB-119-PRO	RSPO2
DTB-090-PRO	RSPO2
DTB-261-BL	RSPO2
DTB-170-BL	MYC
DTB-220-BL	MYC
DTB-190-BL	MYC
DTB-223-BL	MYC
DTB-055-PRO	MYC
DTB-092-BL	MYC
DTB-100-BL	MYC
DTB-265-PRO	MYC
DTB-214-BL	MYC
DTB-127-PRO	MYC
DTB-060-BL	MYC
DTB-260-BL	MYC
DTB-173-BL	MYC
DTB-183-BL	MYC
DTB-119-PRO	MYC
DTB-090-PRO	MYC
DTB-261-BL	MYC
DTB-135-PRO	MYC
DTB-019-PRO	PTPRD
DTB-091-BL	CDKN2A
DTB-111-PRO	CDKN2A
DTB-042-BL	CDKN2A
