sample	category
01115154-TA1	COL5A1
01115154-TA1	MRE11
01115154-TA1	KMT2A
01115154-TA1	ERG
01115154-TA1	ZNRF3
01115156-TA1	MSH2
01115156-TA1	PRKDC
01115156-TA1	ERG
01115156-TC5	PRKDC
01115156-TC5	ERG
01115157-TA3	ERG
01115157-TC3	ERG
01115183-TA1	TSC1
01115183-TA1	KMT2D
01115183-TA1	BRCA1
01115183-TA1	ERG
01115202-TC2	USP7
01115202-TC2	ZNRF3
01115244-TA3	ELK4
01115244-TA3	LSAMP
01115248-TA3	PTPRD
01115249-TC5	SH3RF1
01115249-TC5	PTPRD
01115249-TC5	KDM6A
01115257-TA4	LSAMP
01115257-TA4	CHD7
01115257-TA4	PPL
01115257-TA4	AR
01115263-TA3	CHD1
01115284-TA9	MSH2
01115326-TA3	MSH6
01115326-TA3	AR
01115374-TA2	RPRD2
01115374-TA2	APC
01115374-TA2	PTPRD
01115374-TA2	USP28
01115374-TA2	USP7
01115374-TA2	ZFHX3
01115378-TA2	ATM
01115378-TA2	KMT2A
01115378-TA2	ERG
01115414-TA1	KMT2C
01115414-TA1	RB1
01115414-TA1	UNC13D
01115414-TA1	TTC28
01115444-TA5	RSPO2
01115444-TA5	SMARCA1
01115468-TA3	RSPO2
01115468-TA3	PTPRD
01115503-TC2	RPRD2
01115503-TC2	APC
01115503-TC2	KMT2C
01115503-TC2	ATM
01115503-TC2	USP28
01115503-TC2	USP7
01115503-TC2	ZFHX3
01115525-TA1	TP53
01115525-TA1	ERG
01115525-TA1	TMPRSS2
01115531-TA4	RSPO2
01115549-TA4	COL5A1
01115556-TC1	ERG
01115569-TC1	TCF12
01115569-TC1	AR
01115576-TC2	HDAC4
01115576-TC2	CHD1
01115576-TC2	NBN
01115576-TC2	ERG
01115577-TC1	KMT2C
01115577-TC1	RSPO2
01115577-TC1	PTPRD
01115578-TC4	JAK1
01115578-TC4	MET
01115578-TC4	COL5A1
01115578-TC4	KDM6A
01115589-TC2	ASXL2
01115589-TC2	MIRLET7BHG
01115606-TA2	PIK3R1
01115606-TA2	KDM6A
01115606-TA2	AR
01115644-TA1	MGA
01115655-TA1	LSAMP
01115655-TA1	APC
01115655-TA1	ERG
01115655-TC1	LSAMP
01115655-TC1	STAB2
01115655-TC1	ERG
01115655-TC1	TMPRSS2
01115668-TA4	EHHADH
01115669-TA3	IL6ST
01115669-TA3	FER
01115669-TA3	PTEN
06115115-T	PTPRD
06115115-T	USP28
06115115-T	BRCA2
06115117-T	BRIP1
06115118-T	NCOR2
06115118-T	RAD51B
06115118-T	TP53
06115118-T	BRIP1
DTB-003-BL	RSPO2
DTB-003-BL	AR
DTB-003-BL	MED12
DTB-005-BL	CDH1
DTB-005-BL	AR
DTB-008-BL	NCOR1
DTB-008-BL	NF1
DTB-008-BL	ERG
DTB-009-BL	ARID1A
DTB-009-BL	PIK3CB
DTB-009-BL	ETV1
DTB-009-BL	GPR19
DTB-009-BL	RB1
DTB-011-BL	HDAC4
DTB-011-BL	LSAMP
DTB-011-BL	ETV1
DTB-018-BL	SEL1L3
DTB-018-BL	PTPRD
DTB-018-BL	CDKN2A
DTB-018-BL	STAB2
DTB-018-BL	ERG
DTB-018-BL	AR
DTB-019-PRO	ELK4
DTB-019-PRO	RASA1
DTB-019-PRO	ERG
DTB-020-BL	MAP3K1
DTB-020-BL	RAD51B
DTB-020-BL	ERG
DTB-021-BL	LSAMP
DTB-021-BL	DHX30
DTB-021-BL	PIK3R1
DTB-021-BL	PTPRD
DTB-022-BL	HDAC4
DTB-022-BL	ASXL2
DTB-022-BL	TCF12
DTB-023-BL	PRKDC
DTB-023-BL	CHD7
DTB-023-BL	AR
DTB-024-PRO	FER
DTB-024-PRO	ETV1
DTB-024-PRO	PTPRD
DTB-024-PRO	TP53
DTB-034-BL	LSAMP
DTB-035-BL	LSAMP
DTB-035-BL	MYC
DTB-035-BL	PTPRD
DTB-036-BL	ELK4
DTB-036-BL	LSAMP
DTB-036-BL	KMT2D
DTB-036-BL	SMARCA1
DTB-037-BL	TCERG1
DTB-037-BL	ERG
DTB-037-BL	KDM6A
DTB-040-BL	LSAMP
DTB-040-BL	CTNNB1
DTB-040-BL	ERG
DTB-040-BL	TMPRSS2
DTB-053-BL	LSAMP
DTB-053-BL	PIK3R1
DTB-055-PRO	SH3RF1
DTB-055-PRO	ETV1
DTB-055-PRO	KMT2C
DTB-055-PRO	PTEN
DTB-059-BL	LSAMP
DTB-059-BL	CHD1
DTB-059-BL	RASA1
DTB-059-BL	KMT2C
DTB-059-BL	COL5A1
DTB-059-BL	USP7
DTB-060-BL	ATM
DTB-060-BL	FOXA1
DTB-060-BL	ETV4
DTB-061-BL	LSAMP
DTB-061-BL	KMT2C
DTB-061-BL	PTPRD
DTB-061-BL	PTEN
DTB-061-BL	ETV4
DTB-063-BL	RPRD2
DTB-063-BL	HDAC4
DTB-063-BL	SETD2
DTB-063-BL	LSAMP
DTB-063-BL	ETV1
DTB-063-BL	PTPRD
DTB-063-BL	ZFHX3
DTB-063-BL	ERG
DTB-063-BL	MIRLET7BHG
DTB-063-BL	AR
DTB-064-BL	PTPRD
DTB-064-BL	TMPRSS2
DTB-067-PRO	LSAMP
DTB-067-PRO	PTPRD
DTB-067-PRO	USP28
DTB-067-PRO	RB1
DTB-067-PRO	RAD51B
DTB-067-PRO	ERG
DTB-069-BL	EHHADH
DTB-069-BL	ERG
DTB-069-BL	TMPRSS2
DTB-069-BL	AR
DTB-071-BL	LSAMP
DTB-071-BL	ZBTB16
DTB-071-BL	ERG
DTB-071-BL	AR
DTB-074-BL	SPATA18
DTB-074-BL	KMT2C
DTB-077-PRO	LSAMP
DTB-077-PRO	PTEN
DTB-077-PRO	TCF12
DTB-077-PRO	TSC2
DTB-077-PRO	ERG
DTB-080-BL	LSAMP
DTB-080-BL	RAD51B
DTB-080-BL	CDH1
DTB-080-BL	TP53
DTB-080-BL	ERG
DTB-083-BL	LSAMP
DTB-083-BL	IGF2R
DTB-083-BL	NBN
DTB-083-BL	PTPRD
DTB-083-BL	ERG
DTB-085-BL	MGA
DTB-085-BL	ERG
DTB-085-BL	TTC28
DTB-089-BL	ETV1
DTB-089-BL	KMT2C
DTB-089-BL	PTPRD
DTB-089-BL	MAP2K4
DTB-089-BL	ZNRF3
DTB-089-BL	AR
DTB-090-PRO	KMT2C
DTB-090-PRO	PTEN
DTB-090-PRO	ARID2
DTB-090-PRO	ERG
DTB-091-BL	ZNF292
DTB-091-BL	TCF12
DTB-092-BL	LSAMP
DTB-092-BL	PTPRD
DTB-092-BL	ATM
DTB-092-BL	MGA
DTB-092-BL	ERG
DTB-094-BL	ASXL2
DTB-094-BL	LSAMP
DTB-094-BL	PTPRD
DTB-094-BL	PTEN
DTB-094-BL	RAD51B
DTB-094-BL	AR
DTB-097-PRO	LSAMP
DTB-097-PRO	PIK3R1
DTB-097-PRO	COL5A1
