Sample	AR	Enhancer	logR.AR	logR.Enhancer	purity	ploidy	ploidy.X	AR.CCF	Enhancer.CCF	AR.norm	Enhancer.norm	FC	call
DTB-021-BL	1.8125	4	0.1566	0.68805	0.2015	2.312	2	0.742904513360304	0.284108555939748	1.56790657439446	3.46020761245675	1.14201900487243	Coamplification
DTB-137-PRO	19.875	26	2.043525	2.34795	0.1823	2.92	1	1	0	13.6130136986301	17.8082191780822	0.387556762856737	Coamplification
DTB-091-BL	33.625	24.5	3.955125	3.51265	0.6735	3.426	1	0.60276014749046	0.599255721508551	19.6293053123176	14.302393461763	-0.456752518441416	Coamplification
DTB-018-BL	21.75	25.5	1.695	1.86765	0.1182	3.177	2	0.837481683248663	0.562010884844697	13.6921624173749	16.052880075543	0.229481846122767	Coamplification
DTB-005-BL	12.625	12.5	2.2383625	2.226	0.4669	3.49	2	0.479837545511027	0.363612096034342	7.23495702005731	7.16332378223496	-0.0143552929770701	Coamplification
DTB-156-BL	24.0625	20	3.50998125	3.26115	0.6663	3.305	1	0	0.144115471066642	14.5612708018154	12.1028744326778	-0.266786540694902	Coamplification
DTB-094-BL	36.1875	12.5	3.94866875	2.49985	0.5739	3.31	2	0.276120197189155	0.818229682582708	21.8655589123867	7.55287009063444	-1.53356334821451	Coamplification
DTB-206-BL	2	3	0.76795625	1.29025	0.7082	1.977	1	0	0	2.02326757713708	3.03490136570561	0.584962500721156	Coamplification
DTB-146-BL	2	5	0.87969375	2.048	0.7623	1.862	2	0	0	2.14822771213749	5.37056928034372	1.32192809488736	Coamplification
DTB-129-BL	1	2	0.0098625	0.997	0.8663	2.01	1	0	0.159517998975863	0.995024875621891	1.99004975124378	1	Selective Enhancer
DTB-102-PRO	32.125	29.5	2.45095625	2.37525	0.1653	3.368	2	0	0.886077040672278	19.0766033254157	17.5178147268409	-0.122981499832037	Coamplification
DTB-104-BL	112.4375	123.5	5.4765875	5.6325	0.5183	3.143	2	0	0.134418565367221	71.5478841870824	78.58733693923	0.135387760333195	Coamplification
DTB-222-BL	2	2	0.2213375	0.3587	0.6408	3.33	2	0	0.293205658908638	1.2012012012012	1.2012012012012	0	No amplification
DTB-035-BL	2	3	0.7634375	1.30955	0.6972	1.979	1	0	0	2.02122283981809	3.03183425972714	0.584962500721156	Coamplification
DTB-011-BL	2	2	0.114425	0.09725	0.4612	3.224	2	0	0	1.24069478908189	1.24069478908189	0	No amplification
DTB-143-BL	2	4	0.71570625	1.6247	0.721	1.948	1	0	0	2.05338809034908	4.10677618069815	1	Coamplification
DTB-170-BL	2	2.5	0.82050625	1.08985	0.7441	2.081	2	0.100989958300915	0.602827850123683	1.92215281114849	2.40269101393561	0.321928094887363	Coamplification
DTB-126-BL	13.3125	13	2.18985625	2.185	0.3854	3.291	2	0.189061464056402	0.139381541512036	8.09024612579763	7.90033424491036	-0.0342699020847461	Coamplification
DTB-149-BL	5.0625	5.5	2.09005625	2.14065	0.7619	1.88	1	0	0.210560418007436	5.38563829787234	5.85106382978723	0.119581615752672	Coamplification
DTB-216-PRO	2.0625	2	0.7034625	0.6913	0.4596	1.752	2	0.165371368314527	0.137322304597356	2.35445205479452	2.28310502283105	-0.0443941193584534	Coamplification
DTB-124-BL	0.875	1	0.01553125	0.02645	0.5951	1.851	1	0.942881506212488	0	0.945434900054025	1.08049702863317	0.192645077942396	No amplification
DTB-202-BL	10.9375	10.5	1.46783125	1.4408	0.2122	3.298	2	1	0.842497541550541	6.63280776228017	6.36749545178896	-0.0588936890535686	Coamplification
DTB-034-BL	4	5	1.14396875	1.35995	0.93772	3.626	2	0	0	2.20628792057363	2.75785990071704	0.321928094887362	Coamplification
DTB-023-BL	4.875	5	1.65678125	1.7596	0.5229	1.841	1	0.866983219642254	0.293904509294764	5.29603476371537	5.43183052688756	0.0365258760251139	Coamplification
DTB-220-BL	3	6.5	1.290225	2.31905	0.7336	1.992	1	0	0.419019174937691	3.01204819277108	6.52610441767068	1.11547721741994	Coamplification
DTB-204-BL	1	1	0.04445625	0.01205	0.3491	1.95	1	0	0	1.02564102564103	1.02564102564103	0	No amplification
DTB-190-BL	10.5	11.5	1.42316875	1.5069	0.2204	3.374	2	0.472748614963361	0.309918305508079	6.22406639004149	6.81683461766449	0.131244533278252	Coamplification
DTB-187-BL	1	2	0.0388375	0.7221	0.5901	1.955	1	0	0	1.0230179028133	2.0460358056266	1	Selective Enhancer
DTB-201-PRO	4.1875	5	1.8327	2.07085	0.7983	2.039	1	0.27881801506046	0	4.10740559097597	4.90436488474743	0.25583890442959	Coamplification
DTB-077-PRO	2	3.5	0.7469125	1.57825	0.7516	2.027	2	0	0.682773641762822	1.97335964479526	3.45337937839171	0.807354922057604	Coamplification
DTB-080-BL	10.375	10	2.2077625	2.17935	0.6052	3.447	1	0.323072015706433	0.109036174449016	6.01972729910067	5.8021467943139	-0.0531113364595624	Coamplification
DTB-098-PRO2	2	2	0.3265125	0.30765	0.6592	3.104	2	0	0	1.28865979381443	1.28865979381443	0	No amplification
DTB-223-BL	3.9375	4	1.5396125	1.4591	0.8641	2.372	1	0.747842901487681	0	3.31998313659359	3.37268128161889	0.0227200765000835	Coamplification
DTB-055-PRO	1	1	-0.588175	-0.61935	0.8651	3.104	1	0	0	0.644329896907216	0.644329896907216	0	No amplification
DTB-151-BL	7.5625	6	1.34476875	1.0872	0.3034	3.188	2	0.584158335662864	0	4.74435382685069	3.76411543287327	-0.333900736553438	Coamplification
DTB-252-BL	4	4	1.80458125	1.7803	0.846	1.987	2	0	0	4.02617010568697	4.02617010568697	0	Coamplification
DTB-009-BL	3.25	3.5	0.8747375	0.9248	0.7224	3.276	3	0.323918631414416	0.454854098699369	1.98412698412698	2.13675213675214	0.106915203916512	Coamplification
DTB-040-BL	1	1	-0.34791875	-0.37225	0.93468	2.607	1	0	0	0.767165324127349	0.767165324127349	0	No amplification
DTB-071-BL	36.375	59	4.40005625	5.0948	0.8846	3.199	1	0.393986758721901	0	22.7414817130353	36.8865270396999	0.697767706453558	Coamplification
DTB-165-PRO	12.125	7	2.53021875	1.7969	0.6485	3.271	2	0	0	7.41363497401406	4.28003668602874	-0.792557920129523	Coamplification
DTB-092-BL	58.5	43	4.5521875	4.1112	0.5374	3.342	1	0.537803821057355	0	35.0089766606822	25.7330939557151	-0.444099964881307	Coamplification
DTB-003-BL	2.0625	2	0.23483125	0.2941	0.5616	3.662	3	0.292654874157484	0.421540643509945	1.12643364281813	1.09229929000546	-0.0443941193584536	No amplification
DTB-085-BL	7	8	1.74114375	1.8522	0.5547	3.11	2	0	0	4.5016077170418	5.14469453376206	0.192645077942396	Coamplification
DTB-067-PRO	2	2	0.1203	0.0463	0.8516	3.782	2	0	0	1.05764145954521	1.05764145954521	0	No amplification
DTB-176-BL	29.25	35.5	4.67213125	4.9667	0.8866	2.042	1	0.163185097381453	0.798152649063185	28.6483839373164	34.769833496572	0.279382399921277	Coamplification
DTB-111-PRO	3.8125	4	0.9943375	0.9999	0.7388	3.274	3	0.611951342918871	0	2.32895540623091	2.44349419670128	0.0692626624371135	Coamplification
DTB-112-BL	3	3	0.5992875	0.68875	0.5272	3.242	3	0	0.161615547785551	1.85070943861814	1.85070943861814	0	Coamplification
DTB-266-BL	2	2	0.86971875	0.81265	0.848	2.092	2	0	0	1.91204588910134	1.91204588910134	0	Coamplification
DTB-100-BL	3	4	0.80569375	1.36805	0.8993	3.263	1	0	0.388309392971762	1.83879865154766	2.45173153539687	0.415037499278844	Coamplification
DTB-234-BL	2	4.5	0.25850625	1.3047	0.6069	3.18	2	0	0.880169300959843	1.25786163522013	2.83018867924528	1.16992500144231	Selective Enhancer
DTB-083-BL	2	4	0.05538125	0.7506	0.445	3.462	2	0	0	1.15540150202195	2.31080300404391	1	Selective Enhancer
DTB-255-BL	17.875	16.5	2.9984375	2.87195	0.6435	3.505	1	0.878037382921067	0.330834478854117	10.1997146932953	9.4151212553495	-0.115477217419936	Coamplification
DTB-167-PRO	29.9375	31	3.878075	3.91675	0.6727	3.162	1	0.913359137896366	0	18.9358001265022	19.6078431372549	0.0503144646506949	Coamplification
DTB-059-BL	105.125	110.5	5.513975	5.58305	0.6392	3.499	2	0.172520516680284	0.358270158158964	60.0885967419263	63.1609031151758	0.0719405691362873	Coamplification
DTB-128-BL	25.8125	24.5	3.574225	3.5001	0.783	3.839	2	0.88707327140721	0.576719149024609	13.4475123730138	12.7637405574368	-0.0752881273042371	Coamplification
DTB-265-PRO	25.125	25.5	3.5122375	3.5249	0.6812	3.546	2	0.101973659149828	0.327388471250925	14.17089678511	14.3824027072758	0.021373650792567	Coamplification
DTB-258-BL	3	5	0.7288125	1.41375	0.7505	3.293	3	0	0	1.82204676586699	3.03674460977832	0.736965594166206	Coamplification
DTB-036-BL	2	2	0.145675	0.04865	0.7635	3.467	2	0	0	1.15373521776752	1.15373521776752	0	No amplification
DTB-214-BL	2	6	0.87088125	2.2946	0.8259	2.139	2	0.130586858814168	0	1.8700327255727	5.61009817671809	1.58496250072116	Coamplification
DTB-172-BL	6	5.5	1.40340625	1.3265	0.5782	3.581	2	0	0.590504472089347	3.35101926836079	3.07176766266406	-0.125530882083859	Coamplification
DTB-210-BL	3	1	1.73314375	0.18945	0.8929	1.692	1	0	0	3.54609929078014	1.18203309692671	-1.58496250072116	Selective AR
DTB-037-BL	4.1875	4	1.26723125	1.23415	0.4585	2.113	1	0.20467952848912	0	3.96355892096545	3.78608613345954	-0.0660891904577723	Coamplification
DTB-089-BL	38.3125	29	3.74595625	3.38195	0.4927	3.703	3	0	0	20.6926816095058	15.6629759654334	-0.40176226856321	Coamplification
DTB-022-BL	1	3	0.00403125	1.26175	0.6454	1.974	1	0	0.134716009508449	1.01317122593718	3.03951367781155	1.58496250072116	Selective Enhancer
DTB-042-BL	2.125	3	0.3005	0.50045	0.1904	1.961	1	0.192219495763974	0.150222779383032	2.16726160122387	3.05966343702193	0.497499659470817	Coamplification
DTB-127-PRO	2	4	0.2346875	1.1468	0.8592	3.41	2	0	0	1.17302052785924	2.34604105571848	1	Selective Enhancer
DTB-159-BL	1.8125	1	-0.03759375	-0.10065	0.4992	3.311	2	0.587114323530136	0.476337072482119	1.09483539716098	0.604047115675023	-0.857980995127572	Selective AR
DTB-061-BL	4	4	1.07683125	1.0611	0.8014	3.509	3	0	0	2.27985180963237	2.27985180963237	0	Coamplification
DTB-175-BL	2.8125	5	1.2501625	1.91745	0.8175	2.145	2	0.858915789973521	0	2.62237762237762	4.66200466200466	0.830074998557688	Coamplification
DTB-232-PRO	4	4	1.048875	0.968	0.5528	3.11	4	0	0	2.57234726688103	2.57234726688103	0	Coamplification
DTB-008-BL	2	4.5	0.29879375	1.084	0.6354	3.391	2	0.217703751588987	0.236914886380728	1.17959304040106	2.65408434090239	1.16992500144231	Selective Enhancer
