alteration_type	gene_Exist.cluster	gene_notExist.cluster	gene_Exist.other	gene_notExist.other	pval	effect_size	power	qval
KDM6A_cna_gain	2	4	4	91	0.0208539907847711	0.291228070175439	0.833188974648595	0.566666666666667
TAF1L_mutation	2	4	4	91	0.0208539907847711	0.291228070175439	0.833188974648595	0.566666666666667
STAB2_mutation	1	5	2	93	0.212472530536776	0.202752864816828	0.530989533496819	0.566666666666667
ets_all	5	1	56	39	0.225372342237789	0.117864348306297	0.219871173516039	0.566666666666667
NBN_cna_gain	2	4	13	82	0.235522036693038	0.13061279999438	0.259244719417139	0.566666666666667
ATR_mutation	1	5	3	92	0.285591957408909	0.163733458171053	0.376740468217436	0.566666666666667
etv4_all	1	5	3	92	0.285591957408909	0.163733458171053	0.376740468217436	0.566666666666667
MSH6_mutation	1	5	3	92	0.285591957408909	0.163733458171053	0.376740468217436	0.566666666666667
CHD7_cna_gain	1	5	7	88	0.48461210784002	0.0813864253779742	0.129454264528535	0.566666666666667
AKT1_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
APC_mutation	1	5	9	86	0.5	0.0569279746120119	0.0882614930781614	0.566666666666667
AR_cna_gain	2	4	40	55	0.5	0.0420709118897121	0.0707189185034325	0.566666666666667
AREnhancer_cna_gain	2	4	39	56	0.5	0.0371576034087969	0.0661227913579898	0.566666666666667
ARID1A_mutation	0	6	5	90	0.5	0.0573539334676404	0.0888464995400081	0.566666666666667
ASXL2_mutation	0	6	4	91	0.5	0.0510338051442242	0.0806392453936555	0.566666666666667
ATM_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
BAG4_cna_gain	0	6	6	89	0.5	0.0631578947368421	0.0972803829267765	0.566666666666667
BRIP1_cna_gain	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
CCND1_cna_gain	0	6	6	89	0.5	0.0631578947368421	0.0972803829267765	0.566666666666667
CDK12_mutation	0	6	4	91	0.5	0.0510338051442242	0.0806392453936555	0.566666666666667
CDKN1B_mutation	0	6	4	91	0.5	0.0510338051442242	0.0806392453936555	0.566666666666667
CDKN2A_cna_del	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
CHD1_cna_del	0	6	5	90	0.5	0.0573539334676404	0.0888464995400081	0.566666666666667
CHD3_mutation	0	6	5	90	0.5	0.0573539334676404	0.0888464995400081	0.566666666666667
CHD6_mutation	0	6	4	91	0.5	0.0510338051442242	0.0806392453936555	0.566666666666667
chromoplexy	3	3	44	51	0.5	0.0174596710871246	0.0535344042922597	0.566666666666667
CNOT3_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
COL15A1_cna_gain	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
CTNNB1_mutation	0	6	7	88	0.5	0.0685802265992402	0.105944646860003	0.566666666666667
ERF_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
erg_all	3	3	43	52	0.5	0.0224836116725564	0.0558691414038819	0.566666666666667
etv1_all	1	5	10	85	0.5	0.0465921787234675	0.0754732798153676	0.566666666666667
etv5_all	0	6	1	94	0.5	0.0251312344975017	0.0573390729581475	0.566666666666667
FOXA1_mutation	0	6	5	90	0.5	0.0573539334676404	0.0888464995400081	0.566666666666667
HRAS_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
IDH1_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
IL6ST_cna_del	0	6	5	90	0.5	0.0573539334676404	0.0888464995400081	0.566666666666667
IL6ST_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
JAK1_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
KDM6A_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
KMT2C_mutation	1	5	13	82	0.5	0.0204027096597762	0.054830067365833	0.566666666666667
KMT2D_mutation	0	6	6	89	0.5	0.0631578947368421	0.0972803829267765	0.566666666666667
LSAMP_mutation	1	5	11	84	0.5	0.0371684922103929	0.0661323251253122	0.566666666666667
MAP3K1_cna_del	0	6	4	91	0.5	0.0510338051442242	0.0806392453936555	0.566666666666667
MGA_mutation	0	6	5	90	0.5	0.0573539334676404	0.0888464995400081	0.566666666666667
MSH2_mutation	1	5	8	87	0.5	0.0684140438559842	0.105667769936324	0.566666666666667
MYC_cna_gain	1	5	17	78	0.5	0.00758551922601089	0.0506659851821138	0.566666666666667
NBN_mutation	0	6	5	90	0.5	0.0573539334676404	0.0888464995400081	0.566666666666667
NCOR1_mutation	0	6	5	90	0.5	0.0573539334676404	0.0888464995400081	0.566666666666667
NDST2_cna_gain	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
PIK3CA_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
PIK3CB_cna_gain	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
PIK3R1_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
PPL_mutation	0	6	4	91	0.5	0.0510338051442242	0.0806392453936555	0.566666666666667
PRKDC_mutation	0	6	6	89	0.5	0.0631578947368421	0.0972803829267765	0.566666666666667
PTEN_cna_del	1	5	17	78	0.5	0.00758551922601089	0.0506659851821138	0.566666666666667
PTEN_mutation	1	5	8	87	0.5	0.0684140438559842	0.105667769936324	0.566666666666667
PTPRC_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
PTPRD_mutation	0	6	4	91	0.5	0.0510338051442242	0.0806392453936555	0.566666666666667
RAG1_mutation	0	6	5	90	0.5	0.0573539334676404	0.0888464995400081	0.566666666666667
RPRD2_cna_gain	0	6	6	89	0.5	0.0631578947368421	0.0972803829267765	0.566666666666667
SEL1L3_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
SETDB1_cna_gain	0	6	6	89	0.5	0.0631578947368421	0.0972803829267765	0.566666666666667
SF3B1_mutation	0	6	4	91	0.5	0.0510338051442242	0.0806392453936555	0.566666666666667
SPEN_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
SPOP_mutation	0	6	6	89	0.5	0.0631578947368421	0.0972803829267765	0.566666666666667
STAB2_cna_gain	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
TAF1L_cna_gain	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
TBC1D2_cna_gain	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
USP28_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
ZFHX3_mutation	1	5	10	85	0.5	0.0465921787234675	0.0754732798153676	0.566666666666667
ZFP36L2_cna_del	0	6	6	89	0.5	0.0631578947368421	0.0972803829267765	0.566666666666667
ZMYM3_mutation	0	6	3	92	0.5	0.0439705008036495	0.0726548199543504	0.566666666666667
ZNF292_mutation	0	6	4	91	0.5	0.0510338051442242	0.0806392453936555	0.566666666666667
MED12_cna_gain	0	6	9	86	0.520417214077374	0.0786033695366628	0.123979001300975	0.567121323033036
RB1_mutation	0	6	9	86	0.520417214077374	0.0786033695366628	0.123979001300975	0.567121323033036
ZMYM3_cna_gain	0	6	9	86	0.520417214077374	0.0786033695366628	0.123979001300975	0.567121323033036
MIRLET7BHG_mutation	0	6	10	85	0.552730966118687	0.0833092311395296	0.133356233172395	0.587276651501105
PRKDC_cna_gain	0	6	10	85	0.552730966118687	0.0833092311395296	0.133356233172395	0.587276651501105
AR_mutation	0	6	11	84	0.582137947717311	0.0878595370213959	0.14297809821333	0.603435677511846
RSPO2_cna_gain	0	6	11	84	0.582137947717311	0.0878595370213959	0.14297809821333	0.603435677511846
ets_none	1	5	39	56	0.774627657762211	0.117864348306297	0.219871173516039	0.793293384455277
TP53_mutation	1	5	42	53	0.815323617127519	0.131678236009074	0.26270109416427	0.825029850664751
chromothripsis	0	6	33	62	0.905020713026195	0.175071856101321	0.420639301642725	0.905020713026195
BRCA2_mutation	4	2	5	90	5.89813915006652e-06	0.509466284033925	0.999211448837615	0.000501341827755654
