sample	cluster
DTB-003-BL	3
DTB-005-BL	6
DTB-008-BL	9
DTB-009-BL	1
DTB-011-BL	2
DTB-018-BL	6
DTB-019-PRO	6
DTB-020-BL	9
DTB-021-BL	2
DTB-022-BL	2
DTB-023-BL	5
DTB-024-PRO	3
DTB-034-BL	6
DTB-035-BL	6
DTB-036-BL	2
DTB-037-BL	3
DTB-040-BL	2
DTB-042-BL	4
DTB-053-BL	2
DTB-055-PRO	2
DTB-059-BL	5
DTB-060-BL	1
DTB-061-BL	3
DTB-063-BL	7
DTB-064-BL	4
DTB-067-PRO	9
DTB-069-BL	6
DTB-071-BL	6
DTB-074-BL	5
DTB-077-PRO	2
DTB-080-BL	2
DTB-083-BL	9
DTB-085-BL	1
DTB-089-BL	2
DTB-090-PRO	1
DTB-091-BL	9
DTB-092-BL	9
DTB-094-BL	5
DTB-097-PRO	2
DTB-098-PRO2	2
DTB-100-BL	6
DTB-101-BL	4
DTB-102-PRO	6
DTB-104-BL	8
DTB-111-PRO	2
DTB-112-BL	1
DTB-119-PRO	1
DTB-121-BL	9
DTB-124-BL	2
DTB-126-BL	6
DTB-127-PRO	4
DTB-128-BL	2
DTB-129-BL	3
DTB-132-BL	2
DTB-135-PRO	1
DTB-137-PRO	2
DTB-138-BL	9
DTB-140-BL	1
DTB-141-BL	1
DTB-143-BL	9
DTB-146-BL	1
DTB-149-BL	8
DTB-151-BL	9
DTB-156-BL	2
DTB-159-BL	1
DTB-165-PRO	9
DTB-167-PRO	2
DTB-170-BL	5
DTB-172-BL	6
DTB-173-BL	3
DTB-175-BL	9
DTB-176-BL	2
DTB-183-BL	7
DTB-186-BL	6
DTB-187-BL	2
DTB-188-BL	2
DTB-190-BL	6
DTB-193-BL	2
DTB-194-PRO	2
DTB-201-PRO	1
DTB-202-BL	2
DTB-204-BL	5
DTB-205-BL	9
DTB-206-BL	1
DTB-210-BL	2
DTB-213-BL	1
DTB-214-BL	7
DTB-216-PRO	2
DTB-220-BL	9
DTB-222-BL	1
DTB-223-BL	4
DTB-232-PRO	1
DTB-234-BL	6
DTB-251-BL	1
DTB-252-BL	9
DTB-255-BL	2
DTB-258-BL	2
DTB-260-BL	5
DTB-261-BL	2
DTB-265-PRO	8
DTB-266-BL	6
