symbol	chromosome	start	end
MTOR	chr1	11106535	11262551
SPEN	chr1	15836095	15940456
ARID1A	chr1	26693236	26782104
JAK1	chr1	64833229	65067754
RPRD2	chr1	150363091	150476566
SETDB1	chr1	150926263	150964744
ETV3	chr1	157121191	157138474
PYHIN1	chr1	158930796	158977059
PTPRC	chr1	198638457	198757476
ELK4	chr1	205597556	205632011
ITSN2	chr2	24202864	24360536
ASXL2	chr2	25733753	25878487
ZFP36L2	chr2	43222402	43226606
MSH2	chr2	47403067	47663146
MSH6	chr2	47695530	47810063
XPO1	chr2	61476032	61538741
PMS1	chr2	189784085	189877629
SF3B1	chr2	197388515	197435079
IDH1	chr2	208236229	208266074
CUL3	chr2	224470150	224585397
HDAC4	chr2	239048168	239401654
BRPF1	chr3	9731729	9748015
FANCD2	chr3	10026414	10101932
MLH1	chr3	36993350	37050846
CTNNB1	chr3	41194741	41260096
SETD2	chr3	47016429	47164113
DHX30	chr3	47802909	47850195
LSAMP	chr3	115802363	117139389
PIK3CB	chr3	138652698	138834928
ATR	chr3	142449007	142578733
PIK3CA	chr3	179148114	179240093
EHHADH	chr3	185190624	185281990
ETV5	chr3	186046314	186110318
SEL1L3	chr4	25747433	25863760
PDS5A	chr4	39822863	39977956
SPATA18	chr4	52051304	52097299
SMARCAD1	chr4	94207611	94291292
SH3RF1	chr4	169094259	169270956
IL6ST	chr5	55935095	55995022
MAP3K1	chr5	56815549	56896152
PIK3R1	chr5	68215756	68301821
RASA1	chr5	87267883	87391931
CHD1	chr5	98853985	98929007
FER	chr5	108747841	109196841
APC	chr5	112707498	112846239
JADE2	chr5	134524312	134583230
TCERG1	chr5	146447311	146511961
GEMIN5	chr5	154887411	154938211
SSR1	chr6	7268306	7347446
TAP1	chr6	32845209	32853978
ZNF292	chr6	87152833	87265943
NOX3	chr6	155395368	155455839
IGF2R	chr6	159969082	160113507
ETV1	chr7	13891229	13991425
SAMD9	chr7	93099513	93118023
MET	chr7	116672196	116798377
BRAF	chr7	140719327	140924929
SLC4A2	chr7	151057210	151076526
KMT2C	chr7	152134922	152436003
NKX3-1	chr8	23678697	23682938
WRN	chr8	31033788	31176138
BAG4	chr8	38176533	38213301
PRKDC	chr8	47773111	47960178
CHD7	chr8	60678740	60868028
NBN	chr8	89933331	90003228
RSPO2	chr8	107899316	108083642
MYC	chr8	127735434	127742951
PTPRD	chr9	8314246	10612723
CDKN2A	chr9	21967752	21995301
TAF1L	chr9	32629454	32635669
FANCG	chr9	35073835	35079942
TBC1D2	chr9	98199011	98255649
COL15A1	chr9	98943179	99070792
TSC1	chr9	132891348	132946874
COL5A1	chr9	134641803	134844843
NDST2	chr10	73801911	73811798
PTEN	chr10	87863625	87971930
HRAS	chr11	532242	537287
PAX6	chr11	31784779	31817961
RAG1	chr11	36510709	36593156
CCND1	chr11	69641156	69654474
MRE11	chr11	94415570	94512701
ATM	chr11	108222832	108369102
USP28	chr11	113797874	113875570
ZBTB16	chr11	114059711	114256765
KMT2A	chr11	118436490	118526832
ADAMTS8	chr11	130404923	130428609
GPR19	chr12	12660890	12696207
CDKN1B	chr12	12715058	12722369
KRAS	chr12	25205246	25250936
ARID2	chr12	45729706	45908040
