#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1783	NM_001004341.2	chr1	-	157092042	157099808	157092648	157099523	5	157092042,157097867,157098705,157099140,157099465,	157093127,157097988,157098895,157099378,157099808,	0	ETV3L	cmpl	cmpl	1,0,2,1,0,
2126	NM_001114309.2	chr1	+	202010586	202017183	202011136	202015323	9	202010586,202011128,202011956,202012343,202012639,202012946,202013181,202013828,202015208,	202010820,202011299,202012178,202012436,202012759,202013036,202013298,202014024,202017183,	0	ELF3	cmpl	cmpl	-1,0,1,1,1,1,1,1,2,
1783	NM_001145312.3	chr1	-	157121190	157138395	157124840	157136352	5	157121190,157134111,157135470,157136306,157138315,	157125979,157134227,157135708,157136365,157138395,	0	ETV3	cmpl	cmpl	1,2,1,0,-1,
2153	NM_001973.4	chr1	-	205607942	205632011	205616545	205623882	5	205607942,205618956,205619965,205623675,205631631,	205616644,205619073,205620838,205623891,205632011,	0	ELK4	cmpl	cmpl	0,0,0,0,-1,
2126	NM_004433.5	chr1	+	202010586	202017183	202011136	202015323	9	202010586,202011128,202011956,202012343,202012639,202012946,202013181,202013828,202015208,	202010706,202011299,202012178,202012436,202012759,202013036,202013298,202014024,202017183,	0	ELF3	cmpl	cmpl	-1,0,1,1,1,1,1,1,2,
1783	NM_005240.2	chr1	-	157133183	157138591	157134079	157136352	4	157133183,157135470,157136306,157138315,	157134227,157135708,157136365,157138591,	0	ETV3	cmpl	cmpl	2,1,0,-1,
2153	NM_021795.2	chr1	-	205619267	205632872	205619827	205623882	3	205619267,205623675,205631631,	205620838,205623891,205632872,	0	ELK4	cmpl	cmpl	0,0,-1,
2126	XM_005244942.3	chr1	+	202010582	202013036	202011136	202012900	6	202010582,202011128,202011956,202012343,202012639,202012850,	202010706,202011299,202012178,202012436,202012759,202013036,	0	ELF3	cmpl	cmpl	-1,0,1,1,1,1,
1783	XM_006711210.2	chr1	-	157121190	157138575	157124840	157136352	5	157121190,157134111,157135470,157136306,157138315,	157125979,157134227,157135708,157136362,157138575,	0	ETV3	cmpl	cmpl	1,2,1,0,-1,
1783	XM_024447166.1	chr1	-	157092044	157112832	157092648	157099523	6	157092044,157097867,157098705,157099140,157099465,157112816,	157093127,157097988,157098895,157099378,157099556,157112832,	0	ETV3L	cmpl	cmpl	1,0,2,1,0,-1,
2255	NM_017521.3	chr2	-	218981086	218985184	218981666	218985075	3	218981086,218984230,218985023,	218982256,218984305,218985184,	0	FEV	cmpl	cmpl	1,1,0,
2004	NM_004454.3	chr3	-	186046313	186109089	186048638	186105868	13	186046313,186052029,186057074,186057422,186064416,186065812,186079816,186081045,186105304,186105448,186105624,186105823,186108939,	186048860,186052131,186057244,186057491,186064476,186066072,186080104,186081175,186105355,186105496,186105712,186105942,186109089,	0	ETV5	cmpl	cmpl	0,0,1,1,1,2,2,1,1,1,0,0,-1,
205	NM_001276457.1	chr4	-	139057716	139084414	139058982	139084190	6	139057716,139060323,139061864,139071865,139073453,139084132,	139059607,139060674,139062057,139072039,139073567,139084414,	0	ELF2	cmpl	cmpl	2,2,1,1,1,0,
